ym,mean_days,median_days,n,def_id,start,daytype,scope
2017-04,14.409900130264871,12.0,2303,approved|calendar|delivered_only,approved,calendar,delivered_only
2018-08,7.237667454688731,6.0,6345,approved|calendar|delivered_only,approved,calendar,delivered_only
2017-03,12.739984289080912,10.0,2546,approved|calendar|delivered_only,approved,calendar,delivered_only
2018-03,15.79523061545052,13.0,7003,approved|calendar|delivered_only,approved,calendar,delivered_only
2017-01,12.136363636363637,10.0,748,approved|calendar|delivered_only,approved,calendar,delivered_only
2016-10,18.649056603773584,17.0,265,approved|calendar|delivered_only,approved,calendar,delivered_only
2016-12,5.0,5.0,1,approved|calendar|delivered_only,approved,calendar,delivered_only
2016-09,55.0,55.0,1,approved|calendar|delivered_only,approved,calendar,delivered_only
2017-11,14.521267837541163,12.0,7288,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2018-02,16.391244661378888,14.0,6556,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-09,11.205456301303718,10.0,4142,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-08,10.528738373479609,9.0,4193,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-10,11.24408217954444,10.0,4478,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-07,10.986570247933884,10.0,3872,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-06,11.531269942565412,10.0,3134,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-05,10.918758815232723,9.0,3545,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2018-06,8.729122231337161,7.0,6095,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-02,12.81219512195122,11.0,1640,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2018-07,8.289996741609645,7.0,6138,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2018-04,10.737825511254965,9.0,6797,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2018-01,13.489316541672563,11.0,7067,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2018-05,10.873166395021485,9.0,6749,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-12,14.769091238889896,12.0,5513,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-04,14.409900130264871,12.0,2303,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2018-08,7.237667454688731,6.0,6345,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-03,12.739984289080912,10.0,2546,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2018-03,15.79523061545052,13.0,7003,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-01,12.136363636363637,10.0,748,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2016-10,18.633333333333333,17.0,270,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2016-12,5.0,5.0,1,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2016-09,55.0,55.0,1,approved|calendar|any_delivered_ts,approved,calendar,any_delivered_ts
2017-11,10.372334169672296,8.571428571428571,7288,approved|business|delivered_only,approved,business,delivered_only
2018-02,11.706548981148554,10.0,6555,approved|business|delivered_only,approved,business,delivered_only
2017-09,8.00389735807408,7.142857142857142,4142,approved|business|delivered_only,approved,business,delivered_only
2017-08,7.520527409628304,6.428571428571429,4193,approved|business|delivered_only,approved,business,delivered_only
2017-10,8.031487271103169,7.142857142857142,4478,approved|business|delivered_only,approved,business,delivered_only
2017-07,7.8475501770956555,7.142857142857142,3872,approved|business|delivered_only,approved,business,delivered_only
2017-06,8.236621387546734,7.142857142857142,3134,approved|business|delivered_only,approved,business,delivered_only
2017-05,7.799113439451946,6.428571428571429,3545,approved|business|delivered_only,approved,business,delivered_only
2018-06,6.235087308097981,5.0,6095,approved|business|delivered_only,approved,business,delivered_only
2017-02,9.151567944250873,7.857142857142858,1640,approved|business|delivered_only,approved,business,delivered_only
2018-07,5.92142624400689,5.0,6138,approved|business|delivered_only,approved,business,delivered_only
2018-04,7.669875365182165,6.428571428571429,6797,approved|business|delivered_only,approved,business,delivered_only
2018-01,9.635226101194673,7.857142857142858,7067,approved|business|delivered_only,approved,business,delivered_only
2018-05,7.766547425015392,6.428571428571429,6749,approved|business|delivered_only,approved,business,delivered_only
2017-12,10.549350884921315,8.571428571428571,5513,approved|business|delivered_only,approved,business,delivered_only
2017-04,10.292785807332027,8.571428571428571,2303,approved|business|delivered_only,approved,business,delivered_only
2018-08,5.169762467634776,4.285714285714286,6345,approved|business|delivered_only,approved,business,delivered_only
2017-03,9.099988777914911,7.142857142857142,2546,approved|business|delivered_only,approved,business,delivered_only
2018-03,11.282307582464687,9.285714285714285,7003,approved|business|delivered_only,approved,business,delivered_only
2017-01,8.668831168831174,7.142857142857142,748,approved|business|delivered_only,approved,business,delivered_only
2016-10,13.320754716981128,12.142857142857142,265,approved|business|delivered_only,approved,business,delivered_only
2016-12,3.571428571428571,3.571428571428571,1,approved|business|delivered_only,approved,business,delivered_only
2016-09,39.285714285714285,39.285714285714285,1,approved|business|delivered_only,approved,business,delivered_only
2017-11,10.372334169672296,8.571428571428571,7288,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2018-02,11.70803190098495,10.0,6556,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-09,8.00389735807408,7.142857142857142,4142,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-08,7.520527409628304,6.428571428571429,4193,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-10,8.031487271103169,7.142857142857142,4478,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-07,7.8475501770956555,7.142857142857142,3872,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-06,8.236621387546734,7.142857142857142,3134,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-05,7.799113439451946,6.428571428571429,3545,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2018-06,6.235087308097981,5.0,6095,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-02,9.151567944250873,7.857142857142858,1640,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2018-07,5.92142624400689,5.0,6138,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2018-04,7.669875365182165,6.428571428571429,6797,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2018-01,9.635226101194673,7.857142857142858,7067,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2018-05,7.766547425015392,6.428571428571429,6749,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-12,10.549350884921315,8.571428571428571,5513,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-04,10.292785807332027,8.571428571428571,2303,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2018-08,5.169762467634776,4.285714285714286,6345,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-03,9.099988777914911,7.142857142857142,2546,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2018-03,11.282307582464687,9.285714285714285,7003,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-01,8.668831168831174,7.142857142857142,748,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2016-10,13.309523809523803,12.142857142857142,270,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2016-12,3.571428571428571,3.571428571428571,1,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2016-09,39.285714285714285,39.285714285714285,1,approved|business|any_delivered_ts,approved,business,any_delivered_ts
2017-11,11.11443468715697,9.0,7288,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2018-02,13.381235697940504,11.0,6555,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-09,8.63943118823813,7.0,4149,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-08,8.052003816793894,7.0,4192,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-10,8.4104510942385,7.0,4478,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-07,8.475019414962464,7.0,3863,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-06,8.826100829610722,7.0,3134,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-05,8.323363431151241,7.0,3544,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2018-06,6.5244422572178475,6.0,6096,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-02,9.539067231980617,7.0,1651,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2018-07,5.98196881091618,5.0,6156,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2018-04,8.62150632538982,7.0,6798,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2018-01,10.48267081623992,8.0,7069,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2018-05,8.571047562601867,7.0,6749,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-12,11.700344639941955,9.0,5513,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-04,11.221884498480243,9.0,2303,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2018-08,5.073374271768225,5.0,6351,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-03,9.8,7.0,2545,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2018-03,12.973439954305297,10.0,7003,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-01,9.190921228304406,7.0,749,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2016-10,5.839080459770115,3.0,261,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2016-12,1.0,1.0,1,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2016-09,2.0,2.0,1,carrier|calendar|delivered_only,carrier,calendar,delivered_only
2017-11,11.11443468715697,9.0,7288,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2018-02,13.383618059792557,11.0,6556,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-09,8.63943118823813,7.0,4149,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-08,8.052003816793894,7.0,4192,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-10,8.4104510942385,7.0,4478,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-07,8.475019414962464,7.0,3863,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-06,8.826100829610722,7.0,3134,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-05,8.323363431151241,7.0,3544,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2018-06,6.5244422572178475,6.0,6096,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-02,9.539067231980617,7.0,1651,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2018-07,5.98196881091618,5.0,6156,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2018-04,8.62150632538982,7.0,6798,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2018-01,10.48267081623992,8.0,7069,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2018-05,8.571047562601867,7.0,6749,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-12,11.700344639941955,9.0,5513,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-04,11.221884498480243,9.0,2303,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2018-08,5.073374271768225,5.0,6351,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-03,9.8,7.0,2545,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2018-03,12.973439954305297,10.0,7003,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-01,9.190921228304406,7.0,749,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2016-10,5.921052631578948,3.0,266,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2016-12,1.0,1.0,1,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2016-09,2.0,2.0,1,carrier|calendar|any_delivered_ts,carrier,calendar,any_delivered_ts
2017-11,7.938881919397814,6.428571428571429,7288,carrier|business|delivered_only,carrier,business,delivered_only
2018-02,9.558025498528922,7.857142857142858,6555,carrier|business|delivered_only,carrier,business,delivered_only
2017-09,6.171022277312955,5.0,4149,carrier|business|delivered_only,carrier,business,delivered_only
2017-08,5.751431297709956,5.0,4192,carrier|business|delivered_only,carrier,business,delivered_only
2017-10,6.007465067313221,5.0,4478,carrier|business|delivered_only,carrier,business,delivered_only
2017-07,6.053585296401769,5.0,3863,carrier|business|delivered_only,carrier,business,delivered_only
2017-06,6.304357735436239,5.0,3134,carrier|business|delivered_only,carrier,business,delivered_only
2017-05,5.945259593679467,5.0,3544,carrier|business|delivered_only,carrier,business,delivered_only
2018-06,4.660315898012766,4.285714285714286,6096,carrier|business|delivered_only,carrier,business,delivered_only
2017-02,6.813619451414737,5.0,1651,carrier|business|delivered_only,carrier,business,delivered_only
2018-07,4.272834864940155,3.571428571428571,6156,carrier|business|delivered_only,carrier,business,delivered_only
2018-04,6.15821880384983,5.0,6798,carrier|business|delivered_only,carrier,business,delivered_only
2018-01,7.487622011599915,5.714285714285714,7069,carrier|business|delivered_only,carrier,business,delivered_only
2018-05,6.1221768304299005,5.0,6749,carrier|business|delivered_only,carrier,business,delivered_only
2017-12,8.357389028529958,6.428571428571429,5513,carrier|business|delivered_only,carrier,business,delivered_only
2017-04,8.015631784628752,6.428571428571429,2303,carrier|business|delivered_only,carrier,business,delivered_only
2018-08,3.623838765548765,3.571428571428571,6351,carrier|business|delivered_only,carrier,business,delivered_only
2017-03,6.999999999999993,5.0,2545,carrier|business|delivered_only,carrier,business,delivered_only
2018-03,9.266742824503739,7.142857142857142,7003,carrier|business|delivered_only,carrier,business,delivered_only
2017-01,6.564943734503137,5.0,749,carrier|business|delivered_only,carrier,business,delivered_only
2016-10,4.1707717569786515,2.142857142857143,261,carrier|business|delivered_only,carrier,business,delivered_only
2016-12,0.7142857142857143,0.7142857142857143,1,carrier|business|delivered_only,carrier,business,delivered_only
2016-09,1.4285714285714286,1.4285714285714286,1,carrier|business|delivered_only,carrier,business,delivered_only
2018-06,4.660315898012766,4.285714285714286,6096,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2017-02,6.813619451414737,5.0,1651,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
2018-07,4.272834864940155,3.571428571428571,6156,carrier|business|any_delivered_ts,carrier,business,any_delivered_ts
