ym,revenue,n_orders,def_id,anchor,source,freight,voucher,status,aov
2018-04,1135557.2299999995,6924,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,164.00306614673593
2018-01,1079765.2900000028,7235,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,149.24191983414
2018-05,1128193.3299999943,6849,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,164.723803474959
2017-12,852129.7299999995,5662,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,150.49977569763325
2017-04,398242.9399999998,2386,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,166.90818943839054
2018-08,981166.499999999,6428,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,152.63946795270675
2017-03,432785.04000000027,2649,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,163.3767610419027
2018-03,1130377.259999995,7185,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,157.3246012526089
2017-01,134065.35999999978,797,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,168.21249686323688
2016-10,53098.41999999997,300,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,176.99473333333324
2016-09,136.23,2,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,68.115
2016-12,19.62,1,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,19.62
2017-09,706235.5699999995,4265,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,165.5886447831183
2017-11,1167737.910000001,7507,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,155.55320500865872
2018-02,963077.5200000005,6655,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,144.71487903831712
2017-08,652423.6900000031,4304,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,151.58542983271448
2017-10,754379.4900000013,4605,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,163.81747882736184
2017-07,567223.7600000025,3998,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,141.87687843922023
2017-06,494559.4600000026,3229,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,153.16180241560934
2017-05,572396.7400000037,3671,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,155.92392808499147
2018-09,0.0,1,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,0.0
2018-06,1020606.0999999954,6145,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,166.08724165988534
2017-02,283561.6899999996,1718,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,165.05337019790431
2018-07,1039816.8400000012,6233,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,166.8244569228303
2018-04,1156634.9200000006,6919,purchase|items|incl|ex_canceled_unavail,purchase,items,incl,n/a,ex_canceled_unavail,167.16793178204952
